week_end,karma_score,karma_score_7d,forum_activity_score_7d
2023-01-29,129,0,
2023-02-05,129,300,
2023-02-12,141,0,
2023-02-19,135,0,
2023-02-26,135,0,
2023-03-24,114,0,
2023-03-26,114,0,
2023-04-02,117,150,
2023-04-09,111,0,
2023-04-16,111,0,
2023-04-30,111,0,
2023-05-07,105,0,
2023-05-28,105,0,
2023-06-18,99,0,
2023-06-25,99,0,
2023-07-16,99,0,
2023-07-23,99,0,
2023-07-30,99,0,
2023-09-01,93,0,
2023-09-10,93,0,
2023-09-17,90,0,
2023-09-24,90,0,
2023-10-01,90,0,
2023-10-02,90,0,
2023-12-03,96,201,
